,Token,N_Ocorrencia,Length
1055,nay,7,3
1056,oer,3,3
1057,valant,1,6
1058,midst,1,5
1059,sea,8,3
1060,chiron,1,6
1061,exceed,1,6
1062,vow,1,3
1063,bid,5,3
1064,tribun,2,6
1065,hugh,4,4
1066,oswald,2,6
1067,wear,10,4
1068,measur,5,6
1069,belch,2,5
1070,pillow,1,6
1071,offic,6,5
1072,draught,1,7
1073,famish,1,6
1074,tomb,1,4
1075,cronk,1,5
1076,subject,4,7
1077,protect,1,7
1078,huntingman,1,10
1079,blab,1,4
1080,durst,1,5
1081,leav,10,4
1082,two,15,3
1083,restraint,1,9
1084,defil,1,5
1085,launc,1,5
1086,trial,1,5
1087,peter,1,5
1088,near,2,4
1089,undergoss,1,9
1090,compict,1,7
1091,post,2,4
1092,dismal,1,6
1093,woman,11,5
1094,wors,2,4
1095,shame,4,5
1096,foul,6,4
1097,worthi,2,6
1098,roman,2,5
1099,respect,4,7
1100,auvergn,1,7
1101,revel,1,5
1102,bethemlo,1,8
1103,raffet,1,6
1104,line,3,4
1105,stoni,1,5
1106,speech,3,6
1107,back,11,4
1108,tide,3,4
1109,falcon,1,6
1110,shrewsburi,1,10
1111,third,8,5
1112,christend,1,9
1113,sad,5,3
1114,inkind,1,6
1115,cousin,7,6
1116,whenc,1,5
1117,laugh,1,5
1118,angel,1,5
1119,comprev,1,7
1120,dead,13,4
1121,renish,1,6
1122,seald,1,5
1123,diunder,1,7
1124,one,34,3
1125,le,3,2
1126,everyth,1,7
1127,thread,1,6
1128,canst,2,5
1129,patroclus,1,9
1130,lend,1,4
1131,bianca,1,6
1132,appear,8,6
1133,adam,1,4
1134,hither,3,6
1135,terribl,1,7
1136,dimmd,1,5
1137,embol,1,5
1138,day,37,3
1139,cressid,2,7
1140,common,4,6
1141,banish,4,6
1142,lightpouch,1,10
1143,sole,1,4
1144,march,1,5
1145,flight,1,6
1146,orsino,1,6
1147,lullabi,1,7
1148,ship,3,4
1149,stinf,1,5
