,Token,N_Ocorrencia,Length
1291,trouble,1,7
1292,haild,1,5
1293,countryman,1,10
1294,huge,1,4
1295,conduct,3,7
1296,falln,2,5
1297,growthed,1,8
1298,thinkst,1,7
1299,polonius,1,8
1300,flower,3,6
1301,gallant,6,7
1302,tranio,3,6
1303,meaning,1,7
1304,likewise,1,8
1305,france,9,6
1306,mettle,1,6
1307,laughmans,1,9
1308,laurence,1,8
1309,bear,20,4
1310,indeed,8,6
1311,measure,5,7
1312,soft,3,4
1313,knit,1,4
1314,terror,4,6
1315,worthier,1,8
1316,hoe,1,3
1317,dullars,1,7
1318,wrongd,1,6
1319,hated,1,5
1320,none,8,4
1321,agamemnon,1,9
1322,beyond,3,6
1323,womb,1,4
1324,cease,5,5
1325,cort,1,4
1326,prayer,4,6
1327,alone,6,5
1328,leonato,3,7
1329,abused,1,6
1330,ford,3,4
1331,green,2,5
1332,prevail,1,7
1333,person,4,6
1334,golding,1,7
1335,alcibiades,1,10
1336,stray,1,5
1337,saying,2,6
1338,milkings,1,8
1339,forth,4,5
1340,arouse,1,6
1341,page,11,4
1342,challenge,1,9
1343,breathinggilded,1,15
1344,rutland,2,7
1345,three,10,5
1346,arrived,1,7
1347,agree,1,5
1348,aid,1,3
1349,cause,13,5
1350,charmian,4,8
1351,lobe,1,4
1352,welkin,1,6
1353,sly,1,3
1354,distinct,1,8
1355,triumphant,1,10
1356,entrance,1,8
1357,apparel,1,7
1358,taste,4,5
1359,privy,1,5
1360,nephew,3,6
1361,region,1,6
1362,weighd,1,6
1363,reputation,1,10
1364,jollofid,1,8
1365,taller,1,6
1366,adventure,1,9
1367,ferminence,1,10
1368,propose,1,7
1369,ireland,1,7
1370,led,1,3
1371,lap,1,3
1372,fallend,1,7
1373,choler,1,6
1374,assure,1,6
1375,held,1,4
1376,slave,2,5
1377,dignity,2,7
1378,beggar,5,6
1379,murderd,1,7
1380,acquainted,1,10
1381,wine,1,4
1382,plain,1,5
1383,suffice,1,7
1384,bud,2,3
1385,rain,1,4
1386,raffed,1,6
1387,dismercise,1,10
1388,guest,1,5
1389,english,5,7
1390,whosore,1,7
1391,graciously,1,10
1392,revenged,1,8
1393,cleopatra,11,9
1394,slain,1,5
1395,bassanio,2,8
1396,fad,1,3
1397,grazms,1,6
1398,another,12,7
1399,tew,1,3
1400,dy,1,2
1401,mistook,1,7
1402,gainst,4,6
1403,volume,2,6
1404,cressida,7,8
1405,angelo,7,6
1406,vineyard,1,8
1407,hoist,1,5
1408,ambition,1,8
1409,help,5,4
1410,attention,1,9
1411,score,1,5
1412,filthy,1,6
1413,month,1,5
